prospectRank,priorityType,teamId,parentTeam,division,affiliateLevel,affiliateName,firstName,lastName,age,position,currentDisplayOVR,floorDisplay,ceilingDisplay,contact,power,eye,speed,defense,durability,stuff,control,stamina,velocity,movement,workEthic,mentalToughness,leadership,competitiveness,developmentProgram,developmentTrajectory,role,scoutingNote
1,Top Prospect,nym,New York Tycoons,AL_EAST,AA,Albany Blue Chips,Ari,Abarca,22,SS,45,40,75,45,45,40,55,60,45,,,,,,61,60,49,62,tools,ahead_of_curve,Top ranked prospect / potential impact regular,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around polished bats, zone control, up-the-middle defense, and marketable high-floor prospects."
2,Top Prospect,nym,New York Tycoons,AL_EAST,AA,Albany Blue Chips,Bento,Harrow,23,SP,45,40,65,20,20,20,20,30,50,50,50,55,50,50,75,72,61,77,refinement,on_track,Impact follow prospect / everyday or rotation path,"Starter traits with enough pitch mix to stay in a rotation; refinement should decide the role. Fits the org identity around polished bats, zone control, up-the-middle defense, and marketable high-floor prospects."
3,Top Prospect,nym,New York Tycoons,AL_EAST,A_PLUS,Hudson Floor Traders,Caleb,Okafor,21,C,40,35,65,40,40,40,30,60,45,,,,,,89,84,73,92,defense,on_track,Scarcity-position prospect / above-average role path,"Catcher with staff-handling traits and a realistic defensive path; defense gives the profile a safer floor. Fits the org identity around polished bats, zone control, up-the-middle defense, and marketable high-floor prospects."
4,Top Prospect,nym,New York Tycoons,AL_EAST,AA,Albany Blue Chips,Dario,Velas,22,CF,40,35,60,40,40,35,50,55,40,,,,,,64,96,85,70,tools,on_track,Athletic regular upside,Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Best used as athletic regular upside.
5,Top Prospect,nym,New York Tycoons,AL_EAST,AAA,Newark Market Makers,Elias,Daschle,25,RP,50,45,60,20,20,20,25,30,55,55,45,40,70,50,78,66,48,85,velocity,on_track,Near-ready relief or swingman option,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as near-ready relief or swingman option.
6,Top Prospect,nym,New York Tycoons,AL_EAST,A_PLUS,Hudson Floor Traders,Fynn,Kimura,21,3B,35,25,60,35,55,30,30,35,35,,,,,,92,78,60,63,power,on_track,Power or corner-depth prospect,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as power or corner-depth prospect.
7,Top Prospect,nym,New York Tycoons,AL_EAST,A,Long Island Vaults,Gideon,Solberg,20,SS,35,25,55,35,30,35,40,55,35,,,,,,67,90,72,78,defense,on_track,Defense/speed development prospect,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense/speed development prospect.
8,Top Prospect,nym,New York Tycoons,AL_EAST,A,Long Island Vaults,Harlan,Bexley,20,SP,30,20,60,20,20,20,20,30,30,35,30,50,35,30,81,60,84,93,stamina,on_track,Raw arm with starter traits,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as raw arm with starter traits.
9,Top Prospect,nym,New York Tycoons,AL_EAST,ROOKIE,Queens Coiners,Isaak,Ibarra,19,RF,30,20,60,30,40,35,25,35,30,,,,,,95,72,47,71,fundamentals,bust_risk,Young bat with one loud carrying tool,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as young bat with one loud carrying tool.
10,Top Prospect,nym,New York Tycoons,AL_EAST,INTERNATIONAL,Boca Chica Tycoon Academy,Jalen,Prado,18,2B,30,20,60,30,25,30,35,50,30,,,,,,70,84,59,86,defense,bust_risk,International/rookie upside lottery ticket,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as international/rookie upside lottery ticket.
,Depth / Role Player,nym,New York Tycoons,AL_EAST,AAA,Newark Market Makers,Keon,Walden,27,C,45,40,50,45,45,50,35,60,50,,,,,,90,83,43,79,fundamentals,on_track,Optionable catcher with receiving value,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as optionable catcher with receiving value.
,Depth / Role Player,nym,New York Tycoons,AL_EAST,AAA,Newark Market Makers,Luca,Eldridge,26,3B,45,40,50,45,55,50,40,50,45,,,,,,62,90,48,92,fundamentals,on_track,Utility infielder / contact bench bat,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as utility infielder / contact bench bat.
,Depth / Role Player,nym,New York Tycoons,AL_EAST,AAA,Newark Market Makers,Mateo,Lagos,27,CF,45,40,50,45,40,45,50,65,45,,,,,,73,55,53,68,defense,on_track,Left-handed bench outfield depth,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as left-handed bench outfield depth.
,Depth / Role Player,nym,New York Tycoons,AL_EAST,AAA,Newark Market Makers,Nolan,Tavares,28,SP,45,40,50,20,20,20,20,30,50,50,45,65,50,45,84,62,58,81,stamina,on_track,Sixth-starter depth,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as sixth-starter depth.
,Depth / Role Player,nym,New York Tycoons,AL_EAST,AA,Albany Blue Chips,Omar,Bravik,24,CL,40,35,55,20,20,20,25,30,45,50,40,30,50,50,95,69,63,94,breaking,on_track,Middle-relief shuttle candidate,Late-inning arm with leverage temperament and swing-and-miss shape; breaking-ball quality is the carrying skill. Best used as middle-relief shuttle candidate.
