teamId,parentTeam,division,level,affiliateName,shortName,identityNote
nym,New York Tycoons,AL_EAST,AAA,Newark Market Makers,Market Makers,Near-ready bats with polished plate plans and bench-ready defensive utility.
nym,New York Tycoons,AL_EAST,AA,Albany Blue Chips,Blue Chips,Top-prospect stop for high-floor position players and command arms.
nym,New York Tycoons,AL_EAST,A_PLUS,Hudson Floor Traders,Floor Traders,Tool development with emphasis on swing decisions and baserunning reads.
nym,New York Tycoons,AL_EAST,A,Long Island Vaults,Vaults,"Raw upside tier focused on strength, defense, and strike-zone habits."
nym,New York Tycoons,AL_EAST,ROOKIE,Queens Coiners,Coiners,First pro reps for high-variance bats and athletic defenders.
nym,New York Tycoons,AL_EAST,INTERNATIONAL,Boca Chica Tycoon Academy,Tycoon Academy,Latin academy brand for polished infield actions and projection bats.
phi,Philadelphia Liberty Bells,AL_EAST,AAA,Wilmington Founders,Founders,"MLB-depth stop for contact, toughness, and defensive dependability."
phi,Philadelphia Liberty Bells,AL_EAST,AA,Lancaster Quillwrights,Quillwrights,Prospect tier built around pitch recognition and gap-to-gap contact.
phi,Philadelphia Liberty Bells,AL_EAST,A_PLUS,Trenton Tollkeepers,Tollkeepers,Transition level for arms learning to attack hitter-leaning parks.
phi,Philadelphia Liberty Bells,AL_EAST,A,Brandywine Bellows,Bellows,Young hitters build strength without losing contact quality.
phi,Philadelphia Liberty Bells,AL_EAST,ROOKIE,Valley Forge Riveters,Riveters,Rookie identity for energetic athletes and command projects.
phi,Philadelphia Liberty Bells,AL_EAST,INTERNATIONAL,Santo Domingo Liberty Academy,Liberty Academy,Academy focused on disciplined swings and high-makeup defenders.
bos,Boston Noreasters,AL_EAST,AAA,Providence Gale Runners,Gale Runners,Near-ready depth trained for cold-weather tempo and durable innings.
bos,Boston Noreasters,AL_EAST,AA,Portland Harbor Fog,Harbor Fog,Prospect stop for left-side bats and pitchers who can work through traffic.
bos,Boston Noreasters,AL_EAST,A_PLUS,Lowell Millraces,Millraces,Fundamentals level emphasizing repeatable swings and repeatable deliveries.
bos,Boston Noreasters,AL_EAST,A,Cape Cod Tideriders,Tideriders,Raw hitters and arms learn to adjust to changing game conditions.
bos,Boston Noreasters,AL_EAST,ROOKIE,Salem Sea Glints,Sea Glints,"Rookie reps for athletic, weather-tough players."
bos,Boston Noreasters,AL_EAST,INTERNATIONAL,San Pedro Noreaster Academy,Noreaster Academy,"Academy focused on strength, durability, and strike throwing."
bal,Baltimore Crab Cakes,AL_EAST,AAA,Annapolis Hardshells,Hardshells,"Defense-first depth, catchers, and relievers ready for Baltimore callups."
bal,Baltimore Crab Cakes,AL_EAST,AA,Patapsco Pinchers,Pinchers,"Top arm tier for command, movement, and tight relief roles."
bal,Baltimore Crab Cakes,AL_EAST,A_PLUS,Harborplace Mallets,Mallets,Young pitchers learn attack plans and contact-management habits.
bal,Baltimore Crab Cakes,AL_EAST,A,Chesapeake Cakewalkers,Cakewalkers,Raw bats develop plate discipline and defensive reliability.
bal,Baltimore Crab Cakes,AL_EAST,ROOKIE,Inner Harbor Claws,Claws,Rookie group for gritty athletes and low-current projection arms.
bal,Baltimore Crab Cakes,AL_EAST,INTERNATIONAL,Cartagena Crab Academy,Crab Academy,"Academy brand for catchers, contact bats, and command projects."
wsh,Washington Monuments,AL_EAST,AAA,Alexandria Obelisks,Obelisks,Polished depth with stable defense and MLB bench traits.
wsh,Washington Monuments,AL_EAST,AA,Arlington Surveyors,Surveyors,Evaluation-heavy stop for command arms and refined defenders.
wsh,Washington Monuments,AL_EAST,A_PLUS,Potomac Pylons,Pylons,"Development level for structure, footwork, and strike-zone planning."
wsh,Washington Monuments,AL_EAST,A,Georgetown Marblemen,Marblemen,Young players build durability and assignment discipline.
wsh,Washington Monuments,AL_EAST,ROOKIE,Capitol Pedestals,Pedestals,Rookie tier for high-makeup players with one standout tool.
wsh,Washington Monuments,AL_EAST,INTERNATIONAL,La Romana Monument Academy,Monument Academy,Academy focused on fundamentals and polished defensive actions.
chi,Chicago Deep Dish,AL_CENTRAL,AAA,Gary Steel Slices,Steel Slices,Power bats and durable arms near major-league depth status.
chi,Chicago Deep Dish,AL_CENTRAL,AA,Aurora Ovenbirds,Ovenbirds,Top-prospect stop for physical hitters and starters building stamina.
chi,Chicago Deep Dish,AL_CENTRAL,A_PLUS,Rockford Crustmakers,Crustmakers,Strength and launch-angle development without losing game contact.
chi,Chicago Deep Dish,AL_CENTRAL,A,Cicero Saucehands,Saucehands,Raw hitters learn approach while pitchers build ground-ball plans.
chi,Chicago Deep Dish,AL_CENTRAL,ROOKIE,Naperville Doughboys,Doughboys,Rookie brand for big frames and early strength gains.
chi,Chicago Deep Dish,AL_CENTRAL,INTERNATIONAL,Santiago Deep Dish Academy,Deep Dish Academy,Academy for power projection and sturdy catcher/first-base bodies.
det,Detroit Motor Kings,AL_CENTRAL,AAA,Lansing Gearheads,Gearheads,"Near-ready arms, ground-ball relievers, and reliable utility defenders."
det,Detroit Motor Kings,AL_CENTRAL,AA,Grand Rapids Axles,Axles,Pitching mechanics hub with infield defense behind it.
det,Detroit Motor Kings,AL_CENTRAL,A_PLUS,Flint Torque Works,Torque Works,Velocity and movement lab for young power arms.
det,Detroit Motor Kings,AL_CENTRAL,A,Kalamazoo Carburetors,Carburetors,Raw players learn repeatable mechanics and simple offensive plans.
det,Detroit Motor Kings,AL_CENTRAL,ROOKIE,Dearborn Dynamos,Dynamos,Rookie tier for energetic athletes and delivery projects.
det,Detroit Motor Kings,AL_CENTRAL,INTERNATIONAL,Valencia Motor Academy,Motor Academy,"Academy focused on coordination, strength, and mechanical consistency."
cle,Cleveland Forge,AL_CENTRAL,AAA,Akron Anvils,Anvils,Command arms and defense-first depth close to Cleveland.
cle,Cleveland Forge,AL_CENTRAL,AA,Erie Hammerfall,Hammerfall,Top pitching prospects refine movement and secondary weapons.
cle,Cleveland Forge,AL_CENTRAL,A_PLUS,Youngstown Blast Furnaces,Blast Furnaces,Power-arm development with control and lower-half stability.
cle,Cleveland Forge,AL_CENTRAL,A,Canton Steelhands,Steelhands,Young defenders and strike throwers build reliable habits.
cle,Cleveland Forge,AL_CENTRAL,ROOKIE,Lake Erie Tongs,Tongs,"Rookie group built around strength, balance, and mound composure."
cle,Cleveland Forge,AL_CENTRAL,INTERNATIONAL,Maracay Forge Academy,Forge Academy,"Academy for arm action, defense, and contact-management traits."
col,Columbus Wayfinders,AL_CENTRAL,AAA,Dayton Night Oaks,Night Oaks,Balanced depth with strong makeup and adaptable roles.
col,Columbus Wayfinders,AL_CENTRAL,AA,Toledo Scarlet Acorns,Scarlet Acorns,Top-prospect level for steady infielders and command starters.
col,Columbus Wayfinders,AL_CENTRAL,A_PLUS,Athens Campus Foxes,Campus Foxes,Tool refinement and decision-making for young college-style prospects.
col,Columbus Wayfinders,AL_CENTRAL,A,Springfield Seedlings,Seedlings,Raw players develop fundamentals and positional flexibility.
col,Columbus Wayfinders,AL_CENTRAL,ROOKIE,Newark Nutcrackers,Nutcrackers,Rookie tier for patient development and high-effort athletes.
col,Columbus Wayfinders,AL_CENTRAL,INTERNATIONAL,Puerto Plata Wayfinder Academy,Wayfinder Academy,Academy focused on baseball IQ and balanced tool growth.
pit,Pittsburgh Smokestack,AL_CENTRAL,AAA,Altoona Blacktops,Blacktops,"Pitching depth, defense, and grindy bench bats."
pit,Pittsburgh Smokestack,AL_CENTRAL,AA,Erie Chimney Swifts,Chimney Swifts,Top arms and contact managers in a pitcher-leaning identity.
